id_actividad;descripcion_actividad
115111;Servicios de fumigación agrícola
112519;Otra acuicultura
112514;Camaronicultura y acuicultura de otros crustáceos en agua dulce
115113;Beneficio de productos agrícolas
114119;Pesca y captura de peces, crustáceos, moluscos y otras especies
115112;Despepite de algodón
115119;Otros servicios relacionados con la agricultura
114113;Pesca de sardina y anchoveta
112516;Piscicultura en agua salada
114111;Pesca de camarón
114112;Pesca de túnidos
115210;Servicios relacionados con la cría y explotación de animales
112515;Piscicultura en agua dulce
112513;Camaronicultura y acuicultura de otros crustáceos en agua salada
212321;Minería de arena y grava para la construcción
212232;Minería de plomo y zinc
212311;Minería de piedra caliza
212210;Minería de hierro
212391;Minería de sal
212110;Minería de carbón mineral
212221;Minería de oro
212319;Minería de otras piedras dimensionadas
213119;Otros servicios relacionados con la minería
221122;Distribución de energía eléctrica
221311;Captación, tratamiento y suministro de agua realizados por el sector privado
221312;Captación, tratamiento y suministro de agua realizados por el sector público
221123;Comercialización de energía eléctrica
221111;Generación de electricidad a partir de combustibles fósiles
221121;Transmisión de energía eléctrica
221114;Generación de electricidad a partir de energía eólica
221210;Suministro de gas natural por ductos al consumidor final
236211;Edificación de naves y plantas industriales, excepto la supervisión
236112;Edificación de vivienda multifamiliar
238210;Instalaciones eléctricas en construcciones
238130;Trabajos de albañilería
236111;Edificación de vivienda unifamiliar
236221;Edificación de inmuebles comerciales y de servicios, excepto la supervisión
236222;Supervisión de edificación de inmuebles comerciales y de servicios
236113;Supervisión de edificación residencial
238222;Instalaciones de sistemas centrales de aire acondicionado y calefacción
238311;Colocación de muros falsos y aislamiento
238990;Otros trabajos especializados para la construcción
237111;Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje
237212;Construcción de obras de urbanización
238910;Preparación de terrenos para la construcción
238122;Montaje de estructuras de acero prefabricadas
237312;Construcción de carreteras, puentes y similares
237311;Instalación de señalamientos y protecciones en obras viales
238190;Otros trabajos en exteriores
237211;División de terrenos
238390;Otros trabajos de acabados en edificaciones
238121;Montaje de estructuras de concreto prefabricadas
238350;Realización de trabajos de carpintería en el lugar de la construcción
237121;Construcción de sistemas de distribución de petróleo y gas
237992;Construcción de obras marítimas, fluviales y subacuáticas
237213;Supervisión de división de terrenos y de construcción de obras de urbanización
238110;Trabajos de cimentaciones
238330;Colocación de pisos flexibles y de madera
237131;Construcción de obras de generación y conducción de energía eléctrica
237999;Otras construcciones de ingeniería civil
238221;Instalaciones hidrosanitarias y de gas
237112;Construcción de sistemas de riego agrícola
237991;Construcción de presas y represas
238340;Colocación de pisos cerámicos y azulejos
238290;Otras instalaciones y equipamiento en construcciones
238320;Trabajos de pintura y otros cubrimientos de paredes
237132;Construcción de obras para telecomunicaciones
